Date,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2018-01-01,401.86480712890625,407.5852081610255,400.8709111867806,407.5852081610255,9453202
2018-01-02,402.4832458496094,406.19379886702285,400.3850241876042,403.3004544888271,9499419
2018-01-03,404.0954895019531,409.0428826223399,403.3224528765661,408.60113477045854,13507800
2018-01-04,406.5250549316406,407.18766205623797,404.4930912025674,405.57533083084263,9008932
2018-01-05,407.82818603515625,409.4405173881011,406.5030011683391,407.18769426834785,7441284
2018-01-08,410.1693420410156,411.2515816485914,407.93860506339274,409.08710243343984,8827020
2018-01-09,415.6467590332031,416.9498577273488,408.1594261625461,409.99258690697144,14294571
2018-01-10,416.2652282714844,418.4959652231692,413.2393686921782,416.55234523885497,11727682
2018-01-11,414.2332763671875,416.3977556186325,413.01849172708916,416.02226547112144,7849171
2018-01-12,419.2027282714844,420.8813172634133,414.45413724679906,416.55235874310455,15071161
2018-01-15,419.2689514160156,423.3991363037455,417.5241342915199,419.6444415340331,11120925
2018-01-16,407.69561767578125,418.62847250038965,406.3925189007881,418.62847250038965,10825151
2018-01-17,408.3803405761719,410.3681325079495,400.65003206654507,409.04294771583506,13204016
2018-01-18,406.260009765625,410.6331399693217,404.2280461071302,410.3681089235729,9381821
2018-01-19,411.38409423828125,412.7534508067957,407.3201668868598,407.7177134588513,9973533
2018-01-22,429.1416931152344,430.3785342098395,415.2271791983068,418.7610151096373,45700733
2018-01-23,434.33203125,437.7333516251692,430.6877657381498,430.6877657381498,22526810
2018-01-24,426.8668212890625,433.6694626437357,425.23240397722265,433.6694626437357,14289485
2018-01-25,426.66802978515625,429.36257130907364,422.3611274544124,427.5514666866288,13669901
2018-01-29,426.049560546875,431.7037037022086,423.752565811496,426.8005113405526,9897064
2018-01-30,419.82110595703125,426.62377518937143,419.2026707587431,426.62377518937143,9182956
2018-01-31,424.6360168457031,426.049545211856,415.91181306733864,419.64445149338667,12551686
2018-02-01,416.9278564453125,429.6276161578227,413.72530911312856,425.4974600493438,16524809
2018-02-02,399.4794616699219,416.9720135440018,397.9996753776233,413.0185154741004,28965593
2018-02-05,398.5076599121094,403.07959339364197,389.5184533839458,394.9075660137017,19191099
2018-02-06,394.0682067871094,396.6744337262016,384.7476834573947,387.398082235088,24062503
2018-02-07,395.08428955078125,399.94334047498404,393.1406691811001,398.68441326584536,15532284
2018-02-08,399.56787109375,402.2624425392836,394.1787576899006,396.630383948363,13825894
2018-02-09,396.6082458496094,398.44140696176265,391.3737051298124,392.6989194957626,11580639
2018-02-12,404.4047546386719,405.5974238941796,398.4634647955566,398.88312679383546,11877059
2018-02-14,412.42218017578125,416.33150625485683,406.83426507766427,407.7177314304644,22247829
2018-02-15,413.3056640625,417.76713837184013,409.9926577271469,414.18913045278,13363743
2018-02-16,406.9668273925781,416.375695795918,405.55326937313083,415.0504814667845,9628162
2018-02-19,409.4846496582031,411.6933007185078,403.5433600239128,406.834250693511,8941900
2018-02-20,406.87841796875,410.61105650084346,405.862465620646,410.368111374123,8458450
2018-02-21,410.5227355957031,411.91417815860615,407.3422743896304,410.8098525795759,11917390
2018-02-22,408.3140563964844,411.25157226062186,406.39252235425874,407.27598865425296,11196908
2018-02-23,412.687255859375,414.3437591358946,407.60734589689184,408.7779293575835,10610664
2018-02-26,414.6529541015625,417.39169709001646,413.725315823009,414.78546964318235,8435611
2018-02-27,419.8652648925781,422.206431129863,414.4982394859997,414.7853564144651,14021366
2018-02-28,421.6543273925781,422.7807387941539,416.6406761416063,417.8554312227402,56650480
2018-03-01,418.93768310546875,424.017592265509,417.8554435118435,419.53403244723427,8956590
2018-03-05,408.20361328125,419.7107017461303,407.0992878146186,416.5523267833553,12325694
2018-03-06,402.3506774902344,413.5485633542669,399.81073770113363,410.36810239425415,16019726
2018-03-07,393.0301818847656,401.6439272474934,392.27923105957655,401.6439272474934,15853546
2018-03-08,402.61572265625,403.96302280572274,394.5983269581754,396.5198315639016,13283967
2018-03-09,403.3445739746094,406.1054024562447,402.4390217608376,404.1396965875809,10638527
2018-03-12,410.9423828125,412.17925345401096,405.31032510667376,406.392564802586,8315150
2018-03-13,411.62701416015625,413.4602044376182,406.98885315542566,411.64910007947003,11148731
2018-03-14,410.3902282714844,411.7154130953788,406.03918363386197,410.27979866009423,14724464
2018-03-15,402.77032470703125,410.56689069499276,401.97523155334886,408.6011847573007,12711836
2018-03-16,397.58001708984375,401.84271779804146,391.3957822773599,401.53348541636956,30814962
2018-03-19,395.5701599121094,400.60586811883854,394.0240863848267,397.99967032673925,12630833
2018-03-20,393.0522766113281,399.32485543939316,391.83752140311753,394.59835013975066,15192983
2018-03-21,396.18853759765625,398.5959619191376,394.598321826149,395.28298536522124,14715126
2018-03-22,401.15802001953125,402.8366089726244,395.6805642320225,395.7909938358825,22129723
2018-03-23,394.8633728027344,397.55791422821034,392.7430653422368,393.40564299413484,23469999
2018-03-26,398.0438232421875,399.4573516819354,394.2449268584004,394.88544805847977,13227705
2018-03-27,397.46954345703125,402.30650742234764,396.23270243722345,400.73837759916535,15179544
2018-03-28,389.91595458984375,395.72472856594,388.72328540357233,395.702642645587,19160609
2018-04-02,394.4436950683594,397.9775603530314,391.59455230442575,394.46578098920827,12494499
2018-04-03,397.3591613769531,398.30888554741597,391.0424105139204,393.5823801051813,13922126
2018-04-04,395.3050842285156,402.77033205135723,394.04615722501836,399.6340427596775,14214534
2018-04-05,401.18011474609375,401.97523739854904,399.103979173534,399.8107581409622,8527915
2018-04-06,402.4169921875,405.7299691370228,399.76662242276734,401.09180730513367,9664888
2018-04-09,404.6255798339844,405.9507939950901,403.1016218820848,403.1016218820848,7813897
2018-04-10,405.08941650390625,408.11527599655466,403.8084036604986,405.68573634213647,8455132
2018-04-11,411.18536376953125,412.0246288422403,404.6477241610922,407.187693763826,13140816
2018-04-12,410.2356262207031,413.7473763194558,408.2478342441375,410.7436024323613,10822592
2018-04-13,414.71917724609375,415.97810427358496,410.235617180111,412.0025204080658,12616816
2018-04-16,413.924072265625,415.2272006795392,410.1472910217412,412.77557479784633,8934275
2018-04-17,417.1044921875,418.4076204720431,413.46022684162824,415.2271594568929,9599816
2018-04-18,414.34375,418.8493963511984,413.04062153665893,417.5462973750717,7360987
2018-04-19,416.24310302734375,417.435772112496,413.01844098036673,414.8295452701793,9802587
2018-04-20,409.8822326660156,416.0443820566165,406.92266003344923,414.34373651211394,7326696
2018-04-23,413.46026611328125,417.14870365051263,410.14728926039163,410.8098669386417,7674482
2018-04-24,428.5011901855469,430.996987890017,413.01851620279723,413.3719204500571,19921115
2018-04-25,428.699951171875,433.6914871196546,425.6299197816937,430.0913936410903,14079382
2018-04-26,430.8423767089844,436.4302624121801,425.05568822053596,429.8043088875614,34096999
2018-04-27,440.0966491699219,446.59008724744325,435.32594251849457,437.22539081014816,25518647
2018-04-30,425.51953125,438.4622356704007,424.06180139183044,433.77990215558435,19406069
2018-05-02,429.6717834472656,432.54301221606227,426.2925195096566,427.1538999351803,13381914
2018-05-03,424.76849365234375,431.96870932120305,423.7304260205193,431.96870932120305,8634812
2018-05-04,421.3893127441406,426.1379036539284,419.6444660305814,425.3206950990202,8302649
2018-05-07,428.9208068847656,429.91470277960525,422.44945535182814,423.5537808475155,7683268
2018-05-08,427.19805908203125,433.7798699024677,426.3587646029462,431.79207805255453,10792648
2018-05-09,431.4386901855469,434.7958387419284,425.0556818979233,426.66801315469206,9831044
2018-05-10,433.4043884277344,434.9283759705078,430.3564428293989,432.89641223828414,8781584
2018-05-11,436.982421875,437.88794463972954,431.902512588023,433.44855655160154,8774740
2018-05-14,435.81182861328125,438.175110737556,431.4386980924482,438.175110737556,5642499
2018-05-15,432.4325866699219,441.73102509162663,431.41660478439,434.24369122395944,10501479
2018-05-16,422.3611145019531,430.24602450349516,420.7267267971373,430.24602450349516,18840763
2018-05-17,417.5904541015625,424.06180638800646,415.88977907606545,423.7746893923712,10353948
2018-05-18,412.5105285644531,421.19053176549426,411.69331996725697,417.70086764500707,11440117
2018-05-21,411.4061584472656,413.32769241823775,407.32014539081456,411.1411274132582,14491208
2018-05-22,409.3742370605469,412.5767841797532,408.6012003111627,412.20132350955527,11310073
2018-05-23,402.9691467285156,409.0429521991626,401.5997605906833,409.0429521991626,9991028
